Howtext,이름,Function,Company,Shape,Howword,Except,Companyinfo
"1일 1회, 1회 1정(1,150 mg)을 물과 함께 섭취하십시오.",고려은단 비타민C1000플러스,"[비타민C]  1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요
[나이아신]  1. 체내 에너지 생성에 필요
[판토텐산]  1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[비타민B1]  1. 탄수화물과 에너지 대사에 필요
[비타민B2]  1. 체내 에너지 생성에 필요
[비타민B6]  1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B12]  1. 정상적인 엽산 대사에 필요",고려은단(주),알약,,"(1) 임산부와 수유기 여성은 섭취 시 전문가와 상담하시기 바랍니다.
(2) 공복에 섭취 시 위장장애로 설사를 유발할 수 있으니 음식물과 함께 섭취하거나 식후에 섭취하십시오.
(3) 알레르기 체질이신 경우 성분을 확인 후 섭취하십시오.
(4) 제품이 변질 및 변색된 경우에는 섭취하지 마시고 소비자 상담실로 문의하시기 바랍니다.
(5) 포장재에 의하여 상처를 입을 수 있으니 주의가 필요합니다.",
"1일 1회, 1회 2캡슐을 물과 함께 섭취하십시오.",쾌변명장,"[알로에전잎 제품]배변활동 원활에 도움을 줄 수 있음

[프로바이오틱스 제품] 1. 유산균 증식 및 유해균 억제에 도움을 줄 수 있음  2. 배변활동 원활에 도움을 줄 수 있음 

[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요",(주)한국씨엔에스팜,캡슐,," 1.  유통기한을 확인하시기 바라며, 섭취량 및 섭취방법을 준수하시기 바랍니다. 

 2.  특이체질, 알레르기 체질의 경우 성분을 확인하시고 섭취하여 주시기 바랍니다.",
"1일 2회, 1회 1캡슐을 충분한 물과 함께 섭취하십시오.",오메가,[오메가-3지방산함유유지 제품] 1. 혈중 중성지질 개선 2. 혈행개선,주식회사 노바렉스,캡슐,,"특이체질, 알러지체질인 경우는 간혹 개인에 따라 과민반응을 나타낼 수 있으므로 원료를 확인 후 섭취하십시오.",
1일 3회 1회 2정씩 물과 함께 섭취하십시오,해조칼슘.마그네슘,"1)칼슘: 1. 뼈와 치아형성에 필요
 2.신경과 근육기능유지에 필요
3. 정상적인 혈액응고에 필요
4.청년기 이전에 적절한 운동과 건강한 식습관을 유지하면서 충분한 칼슘을 섭취하면서 향후 골다공증 발생의 위험을 감소시킬 수 있다.
2)마그네슘: 1,에너지 이용에 필요 2)신경과 근육 기능 유지에 필요",주식회사 노바렉스,알약,,"특이체질, 알러지체질인 경우는 간혹 개인에 따라 과민반응을 나타낼 수 있으므로 원료를 확인 후 섭취 하십시오.",
1일 3회 1회 1g을 온수 또는 냉수에 타거나 직접 섭취,홍삼정 지(G)클래스,"[홍삼(원료성)] 1. 면역력 증진 2. 피로개선 3. 혈소판 응집 억제를 통한 혈액흐름 4. 기억력 개선 5. 항산화에 도움을 줄 수 있음

[홍삼제품] 1. 면역력 증진 2. 피로개선 3. 혈소판 응집 억제를 통한 혈액흐름 4. 기억력 개선 5. 항산화에 도움을 줄 수 있음",(주)한국인삼공사,액상,,"특이체질등 알러지체질의 경우 성분을 확인하신후 섭취하십시오

 15세이하의 어린이는 위 섭취량의 절반정도를 드십시오

 의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의하십시오

 개봉후 반드시 냉장(0-10 ℃) 보관하십시오",
1일 3회 1회에 동봉된 스푼(1스푼 5.5g정도)을 이용하여 2스푼(11g)을 그대로 또는 냉?온수에 타서 섭취한다.,고려홍삼진액고, 1. 면역력 증진에 도움을 줄 수 있음 2. 피로개선에 도움을 줄 수 있음 3. 혈소판 응집 억제를 통한 혈액흐름에 도움을 줄 수 있음 4. 기억력 개선에 도움을 줄 수 있음 5. 항산화에 도움을 줄 수 있음,(주)대한홍삼진흥공사,액상,,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",
"1일 2회, 1회 1정(오전-노란색 정제, 오후-연보라색정제)을 식후 물과 함께 섭취",슈퍼미네랄,"[비타민E]  1. 유해산소로부터 세포를 보호하는데 필요

[아연]  1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요

[망간]  1. 뼈 형성에 필요 2. 에너지 이용에 필요 3. 유해산소로부터 세포를 보호하는데 필요

[셀레늄(또는 셀렌)]  1. 유해산소로부터 세포를 보호하는데 필요



[칼슘]  1. 뼈와 치아 형성에 필요 2. 신경과 근육 기능 유지에 필요 3. 정상적인 혈액응고에 필요 4. 골다공증발생 위험 감소에 도움을 줌

[마그네슘]  1. 에너지 이용에 필요 2. 신경과 근육 기능 유지에 필요

[철]  1. 체내 산소운반과 혈액생성에 필요 2. 에너지 생성에 필요

[몰리브덴]  1. 산화,환원 효소의 활성에 필요

[구리]  1. 철의 운반과 이용에 필요 2. 유해산소로부터 세포를 보호하는데 필요",네이처퓨어코리아(주),알약,,[철] 특히 6세 이하는 과량섭취하지 않도록 주의,
"1일 1회, 1회 1포씩 섭취하십시오.",주니어홍삼," 1. 면역력 증진·피로개선·혈소판 응집억제를 통한 혈액흐름·기억력 개선·항산화에 도움을 줄 수 있음

 1. 체내 에너지 생성에 필요

 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요",종근당건강(주),액상,,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",
"1일 1회, 1회 1포씩 섭취하십시오.",베이비락토프리미엄생유산균,"[프로바이오틱스 제품] 1. 유산균 증식 및 유해균 억제에 도움을 줄 수 있음  2. 배변활동 원활에 도움을 줄 수 있음 

[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요",종근당건강(주),분말,,#NAME?,
"1일 3회, 1회 2정(600mgx2정)을 충분한 물과 함께 섭취하십시오.",아프로디테, 1.  관절 및 연골건강에 도움을 줄 수 있음,(주)더존피에이치씨,알약,,,
"1일 2회, 1회 2정을 물과 함께 섭취하십시오.",라피스이엠-Ca골드,[칼슘] 1. 뼈와 치아 형성에 필요 2. 신경과 근육 기능 유지에 필요 3. 정상적인 혈액응고에 필요 4. 골다공증발생 위험 감소에 도움을 줌,(주)유유헬스케어,알약,,알레르기 체질인 경우 성분을 확인한 후 섭취여부를 결정하십시오.,
"1일 2회, 1회 2캅셀을 충분한 물과 함께 섭취하십시오.",칼슘캡슐, 1. 뼈와 치아 형성에 필요 2. 신경과 근육 기능 유지에 필요 3. 정상적인 혈액응고에 필요 4. 청년기 이전에 적절한 운동과 건강한 식습관을 유지하면서 충분한 칼슘을 섭취하면 향후 골다공증발생의 위험을 감소시킬 수 있음,코스맥스바이오(주),캡슐,,"알레르기 체질이신 분은 성분을 확인한 후 섭취하시기 바랍니다.
영.유아, 임산부 .수유부나 질환보유자 또는 약물 복용 중이신 분은 섭취 전에 의사, 약사 등 전문가와 상의하십시오.
섭취량 및 섭취방법을 준수하시고 기타 사항은 소비자상담실로 문의하십시오.
제품 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의바랍니다.",
"2g 스틱 1포를 1일 1회, 1포를 씹어서 섭취하거나 녹여서 섭취하세요.",라비센키즈4," 1. 유산균 증식 및 유해균 억제에 도움을 줄 수 있음  2. 배변활동 원활에 도움을 줄 수 있음 

 1. 칼슘과 인이 흡수되고 이용되는데 필요 2. 뼈의 형성과 유지에 필요 3. 골다공증발생 위험 감소에 도움을 줌",(주)메디오젠,분말,," 1.  특이체질, 알레르기 체질인 경우 전문가와 상담 후 섭취여부를 결정하세요. 
 2.  임산부 , 수유부나 의약품을 섭취하시는 분은 섭취 전 전문가와 상담 후 섭취하세요. 
 3.  이상증상이 생길 경우, 섭취를 중단하고, 전문가와 상담하시거나 고객상담실로 문의하시기 바랍니다.",
"1일 1회, 1회 1포(120ml=123.6g)씩 그대로 섭취하십시오.",슬림업 워터젤리 석류맛, 1. 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌,주식회사 대웅생명과학,액상,,"1) 섭취량 및 섭취 방법을 확인하시고 섭취하여 주십시오.
2) 섭취 시 위장장애, 소화부량의 증상이 있을 경우 섭취를 중단하십시오. 
3) 섭취 전에 제품에 이상이 있는 경우 섭취 금하십시오. 
4) 특정 원료 성분에 알레르기 체질은 원료 성분을 확인 후 섭취하십시오.
5) 유통기한이 경과된 제품은 섭취하지 않도록 주의바랍니다.
6) 제품 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하시기 바랍니다.
7) 임산부, 수유부, 만성질환이 있거나 현재 질병치료 중이신분은 전문의와 상의 후 섭취하십시오.
8) 원료 성분에 의해 침전물이 생길 수 있으나 제품의 품질 및 기능에는 이상 없으므로 잘 흔들어 드십시오.
9) 뚜껑을 입으로 개봉 시 삼킬 위험이 있으니 주의 하십시오.
10) 파우치는 그대로 전자렌지 또는 불에 직접 데우지 마십시오.",
" 1.  1일 1회, 1회 3g을 온수 또는 냉수에 녹여 음용하거나 직접 섭취한다. 

 2.  15세 이하의 어린이는 위 음용량의 절반 정도를 음용하십시오.

 3.  소비자의 기호에 따라 꿀 또는 감미료을 첨가하여 섭취해도 좋습니다.",6년근홍삼농축액, 1. 면역력 증진 2. 피로회복 3. 혈소판 응집 억제를 통한 혈액흐름에 도움 4. 기억력 개선에 도움을 줄 수 있음 5. 항산화에 도움을 줄 수 있음 1.  면역력증진  2. 피로회복  3. 혈소판 응집 억제를 통한 혈액흐름에 도움,엠에스바이오텍(주),액상,," 1.  알레르기 체질이신 경우 성분을 확인한 후 섭취하시기 바랍니다.

 2.  제품을 개봉할 때 또는 섭취시 포장재에 의해 상처를 입을 수 있으니 주의 하십시오.

 3.  몸에 이상이 있을시에는 음용을 하지 마십시오.

 4.  유아의 손에 닿지 않는곳에 보관하여 주십시오.",
"1일 2회, 1회 2캡슐을 충분한 물과 함께 섭취하십시오. 1일 1회, 1회 4캡슐을 충분한 물과 함께 섭취하십시오.",코박사,"과민반응에 의한 코 상태(코 가려움, 재채기, 콧물) 개선에 도움을 줄 수 있음(기타기능 II)

 1. 칼슘과 인이 흡수되고 이용되는데 필요 2. 뼈의 형성과 유지에 필요 3. 골다공증발생 위험 감소에 도움을 줌

 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요",코스맥스바이오(주),캡슐,,,
"1일 3회, 1회 1g(1스푼)을 직접 섭취하시거나 물에 타서 드십시오.",광옥고, 1. 면역력 증진에 도움을 줄 수 있음 2. 피로개선에 도움을 줄 수 있음 3. 혈소판 응집 억제를 통한 혈액흐름에 도움을 줄 수 있음 4. 기억력 개선에 도움을 줄 수 있음 5. 항산화에 도움을 줄 수 있음,광동제약주식회사,액상,,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",
"1일 1회, 1회 1캡슐을 물과 함께 섭취하십시오.",전립선건강,"전립선 건강의 유지에 도움을 줄 수 있음.

 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요

 1. 체내 에너지 생성에 필요",안국건강(주),캡슐,,"1) 유통기한을 확인하시기 바라며, 섭취량 및 섭취방법을 준수하시기 바랍니다. 
2) 특이체질, 알레르기 체질의 경우 성분을 확인하시고 섭취하여 주시기 바랍니다. 
3) 메스꺼움 등 소화계통의 불편함과 설사를 유발할 수 있음",
"1일 2회, 1회 1포를 물에 타서 섭취하십시오.",라이화이버,[차전자피 제품] 1. 혈중 콜레스테롤 개선에 도움을 줄 수 있음  2. 배변활동 원활에 도움을 줄 수 있음,(주)뉴트리바이오텍,분말,,"[차전자피 제품]반드시 충분한 물과 함께 섭취할 것 (액상 제외)

 1.  다른 치료나 약물 복용중인 경우 전문의와 상의하시고, 임산부는 섭취시 주의하십시오.

 2.  반드시 충분한 물과 함께 섭취하십시오.

 3.  특이체질, 알레르기 체질인 겨우 간혹 개인에 따라 과민반응을 나타낼 수 있으므로 원료를 확인 후 섭취하십시오

 4.  유통기한이 경과된 제품은 섭취하지 마십시오.",
1일 3회 1회에 동봉된 스푼(1스푼 5.5g정도)을 이용하여 2스푼(11g)을 그대로 또는 냉?온수에 타서 섭취한다.,고려6년근천후홍삼정, 1. 면역력 증진에 도움을 줄 수 있음 2. 피로개선에 도움을 줄 수 있음 3. 혈소판 응집 억제를 통한 혈액흐름에 도움을 줄 수 있음 4. 기억력 개선에 도움을 줄 수 있음 5. 항산화에 도움을 줄 수 있음,(주)대한홍삼진흥공사,액상,,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의
알러지 등 특이제질의 경우 성분을 확인 후 섭취한다.
어린이의 섭취 시에는 보호자의 관리하에 섭취하시기 바랍니다.",
"일 3회, 1회 1포를 한컵(80ml정도)의 물에 타서 섭취",홍삼정차마일드,[홍삼제품] 1. 면역력 증진 2. 피로개선 3. 혈소판 응집 억제를 통한 혈액흐름 4. 기억력 개선 5. 항산화에 도움을 줄 수 있음,(주)한국인삼공사,분말,,특이체질등 알러지체질의 경우 성분을 확인하신 후 섭취,
점심식사 후 1일 2정을 물과 함께 섭취하시기 바랍니다,데이핏,"[카테킨]
 1. 항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음
[엽산]
 1. 세포와 혈액생성에 필요 2. 태아 신경관의 정상 발달에 필요 3. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민 B6]
 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[판토텐산]
 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[아연]
 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요
[비타민 C]
 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요
[비타민 E]
 1. 유해산소로부터 세포를 보호하는데 필요",(주)뉴트리바이오텍,알약,,"카페인이 함유되어 있어 초조감, 불면 등을 나타낼 수 있음",
"1일 1회, 1회 1포를 섭취하십시오",홍박사 플러스,[홍삼제품] 1. 면역력 증진에 도움을 줄 수 있음 2. 피로개선에 도움을 줄 수 있음 3. 혈소판 응집 억제를 통한 혈액흐름에 도움을 줄 수 있음 4. 기억력 개선에 도움을 줄 수 있음 5. 항산화에 도움을 줄 수 있음,백제금산인삼농협,액상,,"[홍삼제품]의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의

-알러지 등 특이체질이신 분은 제품성분을 확인 후 섭취하십시오

-원료성분에 의해 간혹 침전물이 생길 수 있으나 변질이 아니오니 안심하고 드십시오

-개봉면이 날카로울 수 있으니 주의하여 섭취하십시오

-파우치 포장 그대로 전자렌지에 넣고 가열하지 마십시오",
"1일 2회, 1회 2캡슐을 충분한 물과 함께 섭취하십시오. 1일 1회, 1회 4캡슐을 충분한 물과 함께 섭취하십시오.",알지,"과민반응에 의한 코 상태(코 가려움, 재채기, 콧물) 개선에 도움을 줄 수 있음(기타기능 II)

 1.  면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음.

 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요

 1. 유해산소로부터 세포를 보호하는데 필요",코스맥스바이오(주),캡슐,,영·유아·어린이는 섭취 전 의사와 상담한 후 섭취할 것,
"1일 1회, 1회 1정씩 씹어서 섭취",초이스 멀티프로 멀티비타민,"[비타민C] 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요

[비타민B1] 1. 탄수화물과 에너지 대사에 필요

[비타민B2] 1. 체내 에너지 생성에 필요

[비타민B6] 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민B12] 1. 정상적인 엽산 대사에 필요

[엽산] 1. 세포와 혈액생성에 필요 2. 태아 신경관의 정상 발달에 필요 3. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[판토텐산] 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[나이아신] 1. 체내 에너지 생성에 필요

[비타민E] 1. 유해산소로부터 세포를 보호하는데 필요",네이처퓨어코리아(주),알약,," 1.  과량섭취 시 부작용이 있을 수 있음.
 2.  특정원료에 알레르기가 있거나 질병치료 약물투여중인 분은 섭취 전 전문가와 상의하십시오.
 3.  유통기한이 경과된 제품은 섭취하지 마십시오.",
"1일 2회, 1회 2정씩 음용수와 함께 섭취하십시오",나이스관절," 1. 관절 및 연골 건강에 도움을 줄 수 있음 
 1. 칼슘과 인이 흡수되고 이용되는데 필요 2. 뼈의 형성과 유지에 필요 3. 골다공증발생 위험 감소에 도움을 줌",엠에스바이오텍(주),알약,,게에 알레르기를 나타내는 사람은 섭취에 주의(게를 원재료로 사용한 경우에 한함)새우에 알레르기를 나타내는 사람은 섭취에 주의(새우를 원재료로 사용한 경우에 한함),
"병포장 ; 1일1회, 1회 약 2스푼(3g)을 충분한 물과 함께 섭취하십시오.							

스틱포장 ; 1일1회, 1회 1포(3g)을 충분한 물과 함께 섭취하십시오.",퓨어크레아틴100,근력 운동 시에 운동수행능력 향상에 도움을 줄 수 있음,스포츠바이오텍,분말,,"[크레아틴(2007-13)] 1. 신장에 영향을 미치는 약물을 복용하거나 신장 이상의 위험이 있는 사람은 의사와 상담 후에 섭취하여야 합니다. 2. 어린이, 임산부, 수유부는 섭취를 삼가야 합니다. 3. 카페인은 크레아틴의 기능을 감소시킬 수 있습니다. 4. 크레아틴의 섭취는 탈수를 동반할 수 있으므로 충분한 물과 함께 섭취하여야 합니다. 5. 과다 섭취하지 마십시오.

유통기한이 경과된 제품은 섭취하지 마십시오.",
충분한 물과 함께 섭취.,가르시니아다이어트,[가르시니아캄보지아추출물]탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌,동서바이오팜(주),알약,,"가. 알레르기체질의 경우 성분을 확인 후 섭취 하십시오.

나. 임산부와 수유기 여성은 섭취를 피하시는 것이 좋습니다.",
"1일 2회, 1회 1포(2g)를 섭취한다.",인성비타민," 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요

 1. 유해산소로부터 세포를 보호하는데 필요

 1. 체내 에너지 생성에 필요

 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

 1. 탄수화물과 에너지 대사에 필요

 1. 칼슘과 인이 흡수되고 이용되는데 필요  2. 뼈의 형성과 유지에 필요

 1. 세포와 혈액생성에 필요 2. 태아 신경관의 정상 발달에 필요 3. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

 1. 정상적인 엽산 대사에 필요

 1. 정상적인 면역기능에 필요 2.  정상적인 세포분열에 필요

 1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요",인성제약(주),분말,, 1.  알레르기등 특이체질의 경우에는 성분을 확인 하신 후 섭취하시오.  2.  제품 개봉 또는 섭취시 포장재에 의해 상처를 입을 수 있어 주의가 필요함.,
"1일 2회, 1회 1포씩을 물과 함께 섭취.",콘탑에프골드식이섬유,[차전자피 제품] 1. 혈중 콜레스테롤 개선에 도움을 줄 수 있음  2. 배변활동 원활에 도움을 줄 수 있음,극동에치팜(주),분말,,"반드시 충분한 물과 함께 섭취하십시오.
임산부,수유부,특이체질,알레르기 체질의 경우는 간혹 개인에 따라 과민반응을 나타낼 수 있으므로 원료를 확인 후 섭취하십시오.",
"1일 2회, 1회 1팩씩 섭취한다.",우먼솔루션,"갱년기 여성의 건강에 도움을 줄 수 있음 (생리활성기능 2등급)
피부보습에 도움을 줄 수 있음(생리활성기능 2등급)",(주)천호엔케어,액상,,#NAME?,
"1일 2회, 1회 1캡슐을 씹어서 섭취하십시오.

1일 1회, 1회 2캡슐을 씹어서 섭취하십시오.",닥터프로폴리스,"[프로폴리스추출물 제품] 1. 구강에서의 항균작용에 도움을 줄 수 있음

[비타민A] 1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요

[비타민B2] 1. 체내 에너지 생성에 필요

[비타민B6] 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민E] 1. 유해산소로부터 세포를 보호하는데 필요

[판토텐산] 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[셀레늄(또는 셀렌)] 1. 유해산소로부터 세포를 보호하는데 필요

[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요",코스맥스바이오(주),캡슐,,"[프로폴리스추출물 제품]프로폴리스에 알레르기를 나타내는 사람은 섭취에 주의하십시오.

섭취 시 위장장애, 소화불량의 증상이 있을 경우 섭취를 중단하십시오.

개인의 신체 상태에 따라 이상 증상이 생길 경우 섭취를 중단하십시오.

섭취 전 제품에 이상이 있는 경우 섭취를 금하십시오.

특정 원료 성분에 알레르기 체질은 원료 성분을 확인 후 섭취하십시오.",
"1일 1회, 1회 1포(4g)를 물에 넣어 저어서 섭취하십시오.",프리바이오틱스FOS프락토올리고당플러스," 1. 유익균 증식 및 유해균 억제에 도움을 줄 수 있음  2.  배변활동 원활에 도움을 줄 수 있음  3. 칼슘 흡수에 도움을 줄 수 있음

 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요",코스맥스바이오(주),분말,,,
"1일 1회, 1회 1캅셀을 물과 함께 섭취하십시오.",프리미엄유산균,[프로바이오틱스 제품] 1. 유산균 증식 및 유해균 억제에 도움을 줄 수 있음  2. 배변활동 원활에 도움을 줄 수 있음,(주)뉴팜,캡슐,,#NAME?,
"600mg 정제를 1일 2회, 1회 2정을 물과 함께 섭취.",트리벨셀렌효모골드,[셀레늄(또는 셀렌)] 1. 유해산소로부터 세포를 보호하는데 필요,동서바이오팜(주),알약,,"유통기한을 확인하시기 바라며, 섭취량 및 섭취방법을 준수하시기 바랍니다.

특이체질, 알레르기 체질의 경우 성분을 확인하시고 섭취하여 주시기 바랍니다.",
"1일 1회, 1회 1정을 충분한 물과 함께 씹어서 섭취하거나, 입안에서 녹여서 섭취하십시오.",엽산 플러스,[엽산] 1. 세포와 혈액생성에 필요 2. 태아 신경관의 정상 발달에 필요 3. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요,주식회사 아람,알약,,"1. 과량 섭취시 부작용이 있을 수 있으니 임산부, 수유부  질병으로 인하여 치료중인 분은 

    섭취 전 전문가와 상의 하십시오.

  2. 그대로 삼킬 경우 목에 걸릴 우려가 있으니 반드시 씹거나 녹여서 섭취하십시오.

    (특히, 영,유아 주의요망)

  3. 유통기한이 경과된 제품은 섭취하시지 마시기 바랍니다.

  4. 섭취시 위장장애, 소화불량의 증상이 있을 경우 섭취를 중단하십시오,

  5. 알레르기 체질이신 경우 성분을 확인하신 후 섭취하십시오.

  6. 제품 개봉 후 흡습방지를 위하여 뚜껑을 꼭 닫아 주십시오.",
"1일 1회, 1회 1포(2캡슐, 2정/1포)를 충분한 물과 함께 섭취하십시오.",맨즈파워업,"전립선 건강의 유지에 도움을 줄 수 있음.

 1. 지구력 증진에 도움을 줄 수 있음

 1. 유해산소로부터 세포를 보호하는데 필요

 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요

 1.  간 건강에 도움을 줄 수 있음

스트레스로 인한 피로개선에 도움을 줄 수 있음.

 1. 탄수화물과 에너지 대사에 필요

 1. 체내 에너지 생성에 필요

 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",코스맥스바이오(주),캡슐,,"메스꺼움 등 소화계통의 불편함과 설사를 유발할 수 있음.







 1.  알레르기 반응이 나타나는 경우에는 섭취 중단  2.  설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의",
"성인 1일 3회,1회 3g(1포)씩 온수 또는 냉수에 타서 섭취",홍삼차골드, 1. 면역력증진에 도움을 줄 수 있음 2. 피로개선에 도움을 줄 수 있음 3. 혈소판응집억제를통한혈액흐름에 도움을 줄 수 있음 4. 기억력 개선에 도움을 줄 수 있음 5. 항산화에 도움을 줄 수 있음,풍기특산물영농조합법인,분말,,"알레르기체질이신경우는성분을확인하고섭취

의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",
"1일 1회, 1회 1정을 씹어서 섭취하십시오.",온가족 종합비타민&미네랄,"[비타민A] 1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요
[비타민D] 1. 칼슘과 인이 흡수되고 이용되는데 필요 2. 뼈의 형성과 유지에 필요 3. 골다공증발생 위험 감소에 도움을 줌
[비타민E] 1. 유해산소로부터 세포를 보호하는데 필요
[비타민B1] 1. 탄수화물과 에너지 대사에 필요
[비타민B2] 1. 체내 에너지 생성에 필요
[나이아신] 1. 체내 에너지 생성에 필요
[비타민B6] 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[엽산] 1. 세포와 혈액생성에 필요 2. 태아 신경관의 정상 발달에 필요 3. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B12] 1. 정상적인 엽산 대사에 필요
[비타민C] 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요
[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요
[망간] 1. 뼈 형성에 필요 2. 에너지 이용에 필요 3. 유해산소로부터 세포를 보호하는데 필요",(주)뉴트리바이오텍,알약,," 1.  알레르기 체질이신 경우 성분을 확인한 후 섭취하시기 바랍니다.

 2.  강력방습제인 실리카겔은 섭취하시 마십시오.

 3.  이상증상이 생길 경우 섭취를 중단하고, 의사와 상담하십시오.",
"1일 2회, 1회 1캡슐을 물과 함께 섭취하십시오.",오메가멀티플렉스,"[오메가-3지방산함유유지 제품] 1. 혈중 중성지질 개선 2. 혈행개선

[비타민B1] 1. 탄수화물과 에너지 대사에 필요

[비타민B2] 1. 체내 에너지 생성에 필요

[비타민B6] 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[나이아신] 1. 체내 에너지 생성에 필요

[판토텐산] 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[엽산] 1. 세포와 혈액생성에 필요 2. 태아 신경관의 정상 발달에 필요 3. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비오틴] 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요

[셀레늄(또는 셀렌)] 1. 유해산소로부터 세포를 보호하는데 필요

[비타민E] 1. 유해산소로부터 세포를 보호하는데 필요",(주)유유헬스케어,캡슐,," 1.  알레르기 체질이신 경우 성분을 확인한 후 섭취 여부를 결정

 2.  PTP포장의 경우 제품 개봉 또는 섭취시 포장재에 의해 상처를 입을 수 있으니 주의",
"1일 1회, 1회 2캡슐을 충분한 물과 함께 섭취하십시오.",여성건강엔 감마리놀렌산,"[감마리놀렌산 함유 유지]혈중 콜레스테롤 개선·혈행개선·월경전 변화에 의한 불편한 상태 개선·면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음
[비타민E]유해산소로부터 세포를 보호하는데 필요",(주)알피바이오,캡슐,,[감마리놀렌산 함유 유지] 영·유아·어린이는 섭취 전 의사와 상담한 후 섭취할 것,
